 ;SSCC              ;ShipToAddress                                                    ;SHIPTO            ;PRODUCTDESCRIPTION                                           ;Quantity;BARCODE    ;BatchNumber;BestBeforeDate         ;DEPARTUREDATE         ;LUID   ;LogisticCarrierCode;ItemCode   ;ISLOGISTICCARRIER;QuantityUom2;kEY_InternalKey
1;000000000003839843;NESTOR RODRIGUEZ PARQUE INDUSTRIAL 1100\r8340  NEUQUEN\rARGENTINA;PROVEEDORA DEL SUR;Formitas De Pollo Rebozadas Nuggets Congeladas Calisa (5 KG.);2       ;65456545455;190        ;8 ene. 2026 00:00:00.0 ;3 feb. 2025 00:00:00.0;380.329;?                  ;A0120200242;N                ;?           ;1.701.290      
2;000000000003839843;NESTOR RODRIGUEZ PARQUE INDUSTRIAL 1100\r8340  NEUQUEN\rARGENTINA;PROVEEDORA DEL SUR;Formitas De Pollo Rebozadas Nuggets Congeladas Calisa (5 KG.);1       ;65456545455;190        ;8 ene. 2026 00:00:00.0 ;3 feb. 2025 00:00:00.0;380.329;?                  ;A0120200242;N                ;?           ;1.701.291      
3;000000000003839843;NESTOR RODRIGUEZ PARQUE INDUSTRIAL 1100\r8340  NEUQUEN\rARGENTINA;PROVEEDORA DEL SUR;Brocoli Congelado Iqf Conosud (1 KG.)                        ;1       ;?          ;24100      ;31 jul. 2026 00:00:00.0;3 feb. 2025 00:00:00.0;380.329;?                  ;A0330200601;N                ;?           ;1.701.292      
4;000000000003839843;NESTOR RODRIGUEZ PARQUE INDUSTRIAL 1100\r8340  NEUQUEN\rARGENTINA;PROVEEDORA DEL SUR;Brocoli Congelado Iqf Conosud (1 KG.)                        ;9       ;?          ;24100      ;31 jul. 2026 00:00:00.0;3 feb. 2025 00:00:00.0;380.329;?                  ;A0330200601;N                ;?           ;1.701.293      
